a,cv,eopt,flagLo,gyo,idcr,lcor,lgrad,lo,lopt,lrio,o,std,yo
13.1487874062,0.452410717976,19.0,Sin interseccion,31.130582552713495,001377615P,0.014863069801739506,13.8559421969,0.0760526403772,6.93540263336,130.818488574,0.2,344.969903115,762.514877319
inf,0.0,1.0,0,0,004979611A,0,18.0991686511,0.0,18.0991686511,18.0991686511,0.2,0.0,69394.21875
0.0447309211439,0.426046474862,10.0,Distancia,46.547887147512753,004984814A,4.9264967099061998,26.7828771202,22.3559,15.854686915,161.253120987,0.2,938.942913681,2203.85091553
inf,0.0,1.0,0,0,001317815P,0,30.6225910251,0.0,30.6225910251,30.6225910251,0.2,0.0,245.799331665
0.0636383306393,0.912529256981,36.0,Distancia,58.166941963086387,004991605A,0.75482733254122036,20.1564841576,15.7138,10.4556557451,381.361970575,0.2,1891.31044872,2072.6025322
inf,0.0,1.0,0,0,013759615P,0,15.5177473831,0.0,15.5177473831,15.5177473831,0.2,0.0,809.53704834
inf,0.0,1.0,0,0,013771905P,0,2.41777820804,0.0,2.41777820804,2.41777820804,0.2,0.0,61.6698570251
0.142527293977,0.354756924465,4.0,Distancia,15.6118730909521,001315815P,2.229976001534947,36.5407563911,7.0162,19.3853661963,72.7420128185,0.2,357.757244777,1008.45739746
13.4797427811,0.0890968920635,2.0,0,0,004929910A,0,15.4896723136,0.0741853918309,15.4896723136,30.9793446273,0.2,30.592590332,343.36315918
inf,0.0,1.0,0,0,001393415P,0,21.0538118847,0.0,21.0538118847,21.0538118847,0.2,0.0,23.5180397034
4.19026240703,0.164763492151,2.0,0,0,137551106P,0,31.3298278618,0.23864853865,31.3298278618,62.6596557236,0.2,27.5850982666,167.422393799
0.15059106995,0.540973936554,10.0,Distancia,12.935969609655807,001377915P,0.90762842512321873,19.6057227669,6.6405,10.256675596,98.2749771662,0.2,242.539901323,448.339346749
0.000271981008763,0.307186476166,4.0,Distancia,1739.4536765872783,004991705A,1558.537394945612,23.3743235571,3676.7273,23.3743235571,84.3476903709,0.2,22078.9808015,71874.8464355
7.36967110721,0.612518647284,2.0,0,0,000139215P,0,33.3938052365,0.135691265655,33.3938052365,66.787610473,0.2,135.713279724,221.565956116
inf,0.0,1.0,0,0,004991408A,0,29.3690028701,0.0,29.3690028701,29.3690028701,0.2,0.0,57143.3085938
8.69143164972,0.635592927127,2.0,0,0,013715815P,0,7.08527780146,0.115055843537,7.08527780146,14.1705556029,0.2,108.409198761,170.563884735
0.110063066137,0.442708243727,8.0,Gradiente,14.02246591755986,001371808P,1.8543135246224522,28.9189733898,9.0857,15.3866434572,126.580173549,0.2,317.358317258,716.856579372
0.0701798710094,0.512013150461,11.0,Distancia,33.575336082766562,000137815P,2.1741284280887649,22.2681554248,14.2491,12.2211419265,135.168487756,0.2,676.72269073,1321.69005839
0.0373602725805,0.872812171109,14.0,Distancia,32.353601990185901,000013815P,1.4054272429202093,27.2143560912,26.7664,14.309891667,202.067145436,0.2,1358.52146952,1556.48776963
inf,0.0,1.0,0,0,137599115P,0,18.0741815966,0.0,18.0741815966,18.0741815966,0.2,0.0,79.8727722168
7.32029232522,0.247412166626,2.0,0,0,000139214P,0,10.4077762991,0.136606566456,10.4077762991,20.8155525982,0.2,51.928527832,209.88671875
0.00105228919727,0.368657942114,6.0,Distancia,129.84318481881479,000498205A,279.69048393364289,46.1279700149,950.3091,46.1279700149,283.53090293,0.2,3903.30158073,10587.8678711
7.28206547304,0.544414215942,3.0,0,0,004989115A,0,10.3177682761,0.137323676051,10.3177682761,30.9533048282,0.2,10090.2436111,18534.1295573
inf,0.0,1.0,0,0,000001701T,0,2.00555574951,0.0,2.00555574951,2.00555574951,0.2,0.0,1000.13909912
3.87740347533,0.210213495907,3.0,0,0,004979705A,0,13.7833602492,0.257904550394,13.7833602492,41.3500807476,0.2,29518.4922258,140421.489583
7.66263438951,0.285876921517,4.0,0,0,004664713A,0,16.5691983961,0.130503420778,16.5691983961,66.2767935843,0.2,4800.68445074,16792.8366699
0.125555583457,0.296577299376,10.0,Gradiente,977.81239831809171,000499304A,3.6219975181693735,36.9230634905,7.9646,20.2725305043,212.792844365,0.2,18928.4993183,63823.15625
0.0205568015261,0.184080326509,2.0,Distancia,372.29423035020017,004984706A,57.423504896216045,21.0945809387,48.6457,21.0945809387,39.0502475695,0.2,2555.58067139,13882.964681
3.16159162335,0.287642844229,4.0,0,0,013771405P,0,10.7870218646,0.316296384585,10.7870218646,43.1480874586,0.2,112.119474979,389.787117004
0.00208054237243,0.554736737597,6.0,Distancia,121.34427994897797,000497405A,62.475475473175919,66.8733839042,480.6439,66.8733839042,426.110566419,0.2,7957.64475825,14344.9031206
0.0867678958785,0.5995607994,23.0,Distancia,117.02216885049198,004664410A,1.282432351925727,16.6801580443,11.525,8.98129519809,202.901398473,0.2,2068.83828749,3450.58964757
9.93404826511,0.154096845577,2.0,Sin interseccion,13.774581921626885,004984605A,0.16956890994414697,62.7383210845,0.100663895857,31.4539449972,69.4712152196,0.2,235.412802931,1527.69384766
0.119921331606,0.586122313729,6.0,Distancia,8.4158670367499351,001375208P,0.97092802857461757,23.5443386187,8.3388,12.2576333236,72.8209934071,0.2,205.30457477,350.275991821
inf,0.0,1.0,0,0,013715915P,0,32.7505203354,0.0,32.7505203354,32.7505203354,0.2,0.0,164.341156006
9.83078301192,0.457882385512,2.0,0,0,137595915P,0,14.9727413124,0.101721297153,14.9727413124,29.9454826248,0.2,30.4101428986,66.4147472382
0.00262558914939,0.845583564122,21.0,Distancia,63.861416289690553,004984914A,21.306894557922096,40.8766948286,380.8669,31.0917946933,658.722030007,0.2,3902.07724472,4614.65597285
0.0706085040882,0.567720446742,18.0,Distancia,30.235042622535637,000017801T,1.7576561132656712,9.87131505255,14.1626,5.81448558291,103.812213867,0.2,299.533323246,527.607073103
0.01069507278,0.143208360843,1.0,Distancia,504.85484341509647,000498505A,182.36416368700037,76.7358358074,93.501,129.549999747,108.33367237,0.2,9807.49599851,68484.1020508
0.0535031165565,0.374267885642,13.0,Gradiente,35.128889452842344,000131815P,5.3372283407319898,38.8073751306,18.6905,22.0723017357,287.128458248,0.2,901.957893696,2409.92596025
inf,0.0,1.0,0,0,013753906P,0,13.2635502154,0.0,13.2635502154,13.2635502154,0.2,0.0,50.625
inf,0.0,1.0,0,0,137599915P,0,35.1380571089,0.0,35.1380571089,35.1380571089,0.2,0.0,2465.92016602
10.2509420257,0.266123009529,6.0,Sin interseccion,18.139429681897383,001375215P,0.055097432518491453,31.4556226969,0.0975520100971,15.7553600647,89.6355529557,0.2,268.428949814,1008.66494141
